COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
128306;I.E. VEINTICUATRO DE DICIEMBRE;
131219;INSTITUTO CORFERRINI;
130120;FUNDACION COLEGIO SANTA ISABEL DE HUNGRIA SEDE INVICALI;
130138;FUND COL SANTA ISABEL DE HUNGRIA;
130146;FUNDACION COLEGIO SANTA ISABEL DE HUNGRIA CALIMIO NORTE;
99317;EL PARAISO;0
99333;I.E. LUIS CARLOS GALAN SARMIENTO - SEDE PRINCIPAL;0
99341;I.E. MANUELA BELTRAN - SEDE PRINCIPAL;0
99366;I.E. ANTONIA SANTOS - SEDE PRINCIPAL;0
99374;INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ;0
99382;COLEGIO MAYOR DE TELECOMUNICACIONES E INFORMATICA;0
99408;COLEGIO DIST. SARID ARTETA DE VASQUEZ (ANT. C.E.B. # 035) - SEDE 1;0
99416;I. E. MUNICIPAL JOSE DE LOS SANTOS ZUQIGA;0
110262;CORPORACION EDUCATIVA LA CONCEPCION (COL);0
110270;CENT EDUC DIST DON BOSCO III;0
110296;INST. JOSE M. VARGAS VILA;0
124008;INSTITUTO  TECNICO CALIMA;
124321;COLEGIO INSTITUTO TECNICO DEL CARIBE - SEDE PRINCIPAL;
124396;COLEGIO TECNICO NUEVO SALOMIA;
124412;INSTITUTO TECNOLOGICO SANTA ROSA DE CABAL;
124552;IE. MANUEL ELKIN PATARROLLO;
124560;MAGDALENA ORTEGA;
124735;IE ANGEL CUADROS;
124768;CENTRO EDUCATIVO JUAN DIEGO;
40410;I.E.T.C. DE SAN PABLO - SEDE PRINCIPAL;0
66951;COL TIERRA NUEVA                                            ;1
15958;I.E. GENERAL ENRIQUE CAICEDO - SEDE PRINCIPAL;0
31153;INST. EDUC. DIST. PESTALOZZI ;0
47134;I.E. JOSE CONSUEGRA HIGGINS - SEDE PRINCIPAL;0
33167;I.E. TÉCNICA JUAN V PADILLA;0
86850;INSTITUTO POLITECNICO JOSE CELESTINO MUTIS;0
49312;CORP COLEGIO LICEO CENTRAL MIXTO;0
115931;CENTRO DOCENTE SIMON BOLIVAR;0
