ESTU_CONSECUTIVO;ESTU_GENERO;ESTU_CODIGO_RESIDE_MCPIO;ESTU_RESIDE_MPIO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;DESEMP_INGLES;COLE_CODIGO_COLEGIO_FK
SABER1120121000001;M;5837;TURBO;39;37;33;45;30;35;46;40;A-;128306
SABER1120121000002;M;5837;TURBO;31;37;28;29;29;41;32;37;A-;131219
SABER1120121000003;F;5837;TURBO;46;34;40;43;46;33;25;33;A-;130120
SABER1120121000004;M;5837;TURBO;50;47;49;43;55;45;18;47;A1;130138
SABER1120121000005;F;5837;TURBO;46;40;50;36;42;39;39;40;A-;130146
SABER1120121000006;M;5837;TURBO;48;37;45;41;46;35;32;29;A-;99317
SABER1120121000007;F;5837;TURBO;48;54;51;32;44;40;25;31;A-;99333
SABER1120121000008;M;5837;TURBO;46;33;51;32;48;38;33;31;A-;99341
SABER1120121000009;F;5837;TURBO;41;43;42;31;36;39;32;33;A-;99366
SABER1120121000010;F;5837;TURBO;56;44;49;35;36;41;45;42;A-;99374
SABER1120121000011;M;5837;TURBO;48;33;51;45;40;38;29;31;A-;99382
SABER1120121000012;F;52001;PASTO;52;40;36;42;44;37;39;26;A-;99408
SABER1120121000013;F;76001;CALI;56;43;44;37;49;48;42;31;A-;99416
SABER1120121000014;F;76001;CALI;41;37;51;48;40;42;43;40;A-;110262
SABER1120121000015;F;76001;CALI;46;41;49;35;44;43;36;40;A-;110270
SABER1120121000016;M;76001;CALI;52;54;38;39;46;50;33;33;A-;110296
SABER1120121000017;F;76001;CALI;50;46;33;43;51;39;36;59;A2;124008
SABER1120121000018;F;76001;CALI;59;51;50;48;46;50;39;29;A-;124321
SABER1120121000019;F;76001;CALI;50;54;50;30;47;57;60;33;A-;124396
SABER1120121000020;F;76001;CALI;56;49;56;39;63;56;50;68;B1;124412
SABER1120121000021;F;76001;CALI;50;34;44;36;37;38;37;31;A-;124552
SABER1120121000022;F;76001;CALI;56;52;49;42;44;53;42;51;A1;124560
SABER1120121000023;M;76001;CALI;60;60;55;45;57;56;57;55;A2;124735
SABER1120121000024;F;76001;CALI;65;39;55;60;55;44;54;45;A1;124768
SABER1120121000025;M;76001;CALI;52;60;53;52;47;47;57;48;A1;40410
SABER1120121000026;F;76001;CALI;65;69;51;63;53;60;61;80;B1;66951
SABER1120121000027;F;76001;CALI;52;42;46;41;43;49;42;45;A1;15958
SABER1120121000028;M;76001;CALI;43;39;48;28;41;45;38;43;A-;31153
SABER1120121000029;M;76001;CALI;65;63;53;49;51;56;45;50;A1;47134
SABER1120121000030;M;76001;CALI;58;60;51;41;57;53;57;51;A1;33167
SABER1120121000031;F;76001;CALI;56;45;51;49;53;54;38;46;A1;86850
SABER1120121000032;F;76001;CALI;50;42;46;37;45;45;48;37;A-;49312
SABER1120121000033;M;76001;CALI;58;66;57;60;55;60;78;65;B1;115931
SABER1120121000034;M;76001;CALI;56;43;47;48;42;47;29;39;A-;101634
SABER1120121000035;F;76001;CALI;54;65;57;60;58;57;51;53;A2;42440
SABER1120121000036;M;76001;CALI;54;57;60;50;65;54;49;60;A2;92825
SABER1120121000037;F;76001;CALI;63;62;42;50;51;57;66;50;A1;50153
SABER1120121000038;F;76001;CALI;54;43;44;32;46;49;36;40;A-;134957
SABER1120121000039;F;76001;CALI;50;49;51;43;40;47;52;43;A1;141911
SABER1120121000040;M;76001;CALI;46;37;36;42;36;39;32;43;A1;52134
SABER1120121000041;M;76001;CALI;57;40;58;54;49;50;36;35;A-;72124
SABER1120121000042;M;76001;CALI;26;33;36;30;42;40;43;39;A-;48439
SABER1120121000043;M;76001;CALI;48;29;48;29;42;49;52;45;A1;88252
SABER1120121000044;F;76001;CALI;44;46;50;32;46;42;42;39;A-;29116
SABER1120121000045;M;76001;CALI;52;59;46;55;60;45;65;63;B1;74617
SABER1120121000046;M;76001;CALI;57;46;53;44;53;50;51;57;A2;76919
SABER1120121000047;F;76001;CALI;69;57;55;52;49;66;69;77;B1;35816
SABER1120121000048;M;76001;CALI;50;52;45;34;36;39;52;37;A-;49148
SABER1120121000049;M;76001;CALI;54;49;42;39;58;50;44;46;A1;11817
SABER1120121000050;F;76001;CALI;59;40;58;60;56;55;45;53;A2;119925
SABER1120121000051;M;76001;CALI;48;62;49;53;53;54;59;56;A2;31419
SABER1120121000052;F;76001;CALI;52;43;50;61;44;54;50;31;A-;19349
SABER1120121000053;F;76001;CALI;54;34;45;43;51;42;33;40;A-;11825
SABER1120121000054;F;76001;CALI;57;40;45;46;42;47;44;43;A1;1206
SABER1120121000055;M;76001;CALI;52;63;46;48;46;39;32;17;A-;74278
SABER1120121000056;F;76001;CALI;59;55;51;48;56;53;60;51;A1;61606
SABER1120121000057;F;76001;CALI;57;52;49;38;45;44;46;39;A-;53280
SABER1120121000058;F;76001;CALI;59;49;44;53;42;49;52;35;A-;36772
SABER1120121000059;M;76001;CALI;52;54;50;48;51;41;47;61;A2;18952
SABER1120121000060;F;76001;CALI;56;54;52;60;51;55;54;50;A1;5462
